model,infMethod,modelSize,time
hmm,Lightweight_MH,1,1.105354085
hmm,Lightweight_MH,1,1.117400473
hmm,Lightweight_MH,1,1.14123142
hmm,Lightweight_MH,1,1.113936282
hmm,Lightweight_MH,1,1.139413115
hmm,Lightweight_MH,1,1.106231317
hmm,Lightweight_MH,1,1.074884022
hmm,Lightweight_MH,1,1.080404225
hmm,Lightweight_MH,1,1.116435043
hmm,Lightweight_MH,1,1.182614994
hmm,Lightweight_MH,1,1.183112884
hmm,Lightweight_MH,1,1.065949999
hmm,Lightweight_MH,1,1.173473349
hmm,Lightweight_MH,1,1.2334301970000001
hmm,Lightweight_MH,1,1.197051814
hmm,Lightweight_MH,1,1.239652461
hmm,Lightweight_MH,1,1.178798498
hmm,Lightweight_MH,1,1.167678909
hmm,Lightweight_MH,1,1.2100475880000001
hmm,Lightweight_MH,1,1.184129775
hmm,Lightweight_MH,2,2.937837102
hmm,Lightweight_MH,2,3.055965211
hmm,Lightweight_MH,2,2.735549356
hmm,Lightweight_MH,2,2.945536374
hmm,Lightweight_MH,2,3.071428852
hmm,Lightweight_MH,2,3.102830004
hmm,Lightweight_MH,2,3.221907352
hmm,Lightweight_MH,2,2.9827194439999998
hmm,Lightweight_MH,2,2.926254821
hmm,Lightweight_MH,2,2.984183281
hmm,Lightweight_MH,2,2.97902598
hmm,Lightweight_MH,2,3.105316677
hmm,Lightweight_MH,2,3.15392282
hmm,Lightweight_MH,2,3.390543531
hmm,Lightweight_MH,2,3.091466178
hmm,Lightweight_MH,2,3.146532564
hmm,Lightweight_MH,2,3.029728188
hmm,Lightweight_MH,2,3.025869206
hmm,Lightweight_MH,2,3.077051465
hmm,Lightweight_MH,2,3.229300012
hmm,Lightweight_MH,3,5.989020635
hmm,Lightweight_MH,3,5.681376525
hmm,Lightweight_MH,3,5.680963041
hmm,Lightweight_MH,3,5.778825601
hmm,Lightweight_MH,3,5.864384025
hmm,Lightweight_MH,3,5.890690495
hmm,Lightweight_MH,3,5.998211671
hmm,Lightweight_MH,3,5.885761486
hmm,Lightweight_MH,3,6.134948347
hmm,Lightweight_MH,3,5.560509523
hmm,Lightweight_MH,3,5.715228807
hmm,Lightweight_MH,3,5.958307809
hmm,Lightweight_MH,3,6.29063396
hmm,Lightweight_MH,3,6.029773616
hmm,Lightweight_MH,3,6.563653176
hmm,Lightweight_MH,3,6.473371437
hmm,Lightweight_MH,3,6.709674605
hmm,Lightweight_MH,3,6.978773432
hmm,Lightweight_MH,3,6.291661984
hmm,Lightweight_MH,3,6.109085387
hmm,Lightweight_MH,4,10.369081616
hmm,Lightweight_MH,4,10.168288408
hmm,Lightweight_MH,4,11.081971346
hmm,Lightweight_MH,4,10.796057386
hmm,Lightweight_MH,4,11.163302171
hmm,Lightweight_MH,4,11.435385901
hmm,Lightweight_MH,4,11.259381316
hmm,Lightweight_MH,4,10.700278187
hmm,Lightweight_MH,4,10.906724663
hmm,Lightweight_MH,4,10.726913939
hmm,Lightweight_MH,4,10.528833009
hmm,Lightweight_MH,4,10.88969777
hmm,Lightweight_MH,4,11.638526428
hmm,Lightweight_MH,4,11.621449131
hmm,Lightweight_MH,4,12.16216689
hmm,Lightweight_MH,4,12.048892961
hmm,Lightweight_MH,4,11.830160605
hmm,Lightweight_MH,4,11.879631916
hmm,Lightweight_MH,4,10.467842424
hmm,Lightweight_MH,4,11.349283645
hmm,Lightweight_MH,5,16.317391697
hmm,Lightweight_MH,5,17.170005465
hmm,Lightweight_MH,5,17.391261242
