infMethod,modelSize,time
Lightweight_MH,1,0.914114182
Lightweight_MH,1,0.815249945
Lightweight_MH,1,0.833901456
Lightweight_MH,1,0.864366522
Lightweight_MH,1,0.79107489
Lightweight_MH,1,0.798281509
Lightweight_MH,1,0.824210355
Lightweight_MH,1,0.804861448
Lightweight_MH,1,0.824411638
Lightweight_MH,1,0.815804094
Lightweight_MH,1,0.790185647
Lightweight_MH,1,0.754958107
Lightweight_MH,1,0.801165574
Lightweight_MH,1,0.802766768
Lightweight_MH,1,0.818814698
Lightweight_MH,1,0.837439453
Lightweight_MH,1,0.872691682
Lightweight_MH,1,0.791664281
Lightweight_MH,1,0.81645907
Lightweight_MH,1,0.786878111
Lightweight_MH,2,2.241823044
Lightweight_MH,2,2.169160434
Lightweight_MH,2,2.067964826
Lightweight_MH,2,2.063957674
Lightweight_MH,2,2.117287906
Lightweight_MH,2,2.184424945
Lightweight_MH,2,2.046253551
Lightweight_MH,2,2.214684564
Lightweight_MH,2,2.191841799
Lightweight_MH,2,2.15438699
Lightweight_MH,2,2.233373209
Lightweight_MH,2,2.336188948
Lightweight_MH,2,2.146435791
Lightweight_MH,2,2.182883644
Lightweight_MH,2,2.232014757
Lightweight_MH,2,2.263338606
Lightweight_MH,2,2.242212974
Lightweight_MH,2,2.262898741
Lightweight_MH,2,2.203407709
Lightweight_MH,2,2.225378384
Lightweight_MH,3,4.340262568
Lightweight_MH,3,4.458496824
Lightweight_MH,3,4.5590658269999995
Lightweight_MH,3,4.518786829
Lightweight_MH,3,4.448068769
Lightweight_MH,3,4.561663077
Lightweight_MH,3,4.490930806
Lightweight_MH,3,4.6023577190000005
Lightweight_MH,3,4.616206401
Lightweight_MH,3,4.678660184
Lightweight_MH,3,4.816526455
Lightweight_MH,3,4.685817487
Lightweight_MH,3,4.680227688
Lightweight_MH,3,4.744040309
Lightweight_MH,3,4.80503052
Lightweight_MH,3,4.731298179
Lightweight_MH,3,4.656520943
Lightweight_MH,3,5.013006741
Lightweight_MH,3,5.05000903
Lightweight_MH,3,5.013253292
Lightweight_MH,4,8.848784788
Lightweight_MH,4,9.191359976
Lightweight_MH,4,9.265836515
Lightweight_MH,4,9.074663385
Lightweight_MH,4,9.551551596
Lightweight_MH,4,9.572955418
Lightweight_MH,4,9.758197219
Lightweight_MH,4,9.594868046
Lightweight_MH,4,9.366237207
Lightweight_MH,4,9.222375504
Lightweight_MH,4,9.45376797
Lightweight_MH,4,9.406180068
Lightweight_MH,4,9.669618393
Lightweight_MH,4,9.618984242
Lightweight_MH,4,9.780287658
Lightweight_MH,4,9.825220596
Lightweight_MH,4,10.118912769
Lightweight_MH,4,10.58536506
Lightweight_MH,4,9.559828137
Lightweight_MH,4,9.632821988
Lightweight_MH,5,14.961036597
Lightweight_MH,5,15.780126245
Lightweight_MH,5,15.405681979
Lightweight_MH,5,16.14247754
Lightweight_MH,5,15.977209758
Lightweight_MH,5,15.922147028
Lightweight_MH,5,16.268117735
Lightweight_MH,5,16.825074763
Lightweight_MH,5,16.08188495
Lightweight_MH,5,15.365019518
Lightweight_MH,5,15.842387642
Lightweight_MH,5,16.091487727
Lightweight_MH,5,16.089254431
Lightweight_MH,5,15.888141555
Lightweight_MH,5,16.932652017
