infMethod,modelSize,time
Lightweight_MH,1,1.052461217
Lightweight_MH,1,0.923368758
Lightweight_MH,1,1.020868929
Lightweight_MH,1,0.960603975
Lightweight_MH,1,1.008478864
Lightweight_MH,1,0.950466039
Lightweight_MH,1,1.070560597
Lightweight_MH,1,0.964016663
Lightweight_MH,1,0.916116246
Lightweight_MH,1,0.983556409
Lightweight_MH,1,1.005577946
Lightweight_MH,1,1.004757086
Lightweight_MH,1,0.981248298
Lightweight_MH,1,1.006412025
Lightweight_MH,1,1.00960195
Lightweight_MH,1,0.991133022
Lightweight_MH,1,0.979439621
Lightweight_MH,1,1.016245176
Lightweight_MH,1,1.08959982
Lightweight_MH,1,1.014060313
Lightweight_MH,2,1.96848079
Lightweight_MH,2,2.136147112
Lightweight_MH,2,1.98621129
Lightweight_MH,2,1.9291735920000002
Lightweight_MH,2,2.027936419
Lightweight_MH,2,2.129688179
Lightweight_MH,2,2.314592581
Lightweight_MH,2,2.069369587
Lightweight_MH,2,2.128806188
Lightweight_MH,2,2.169983629
Lightweight_MH,2,2.240400767
Lightweight_MH,2,2.396918109
Lightweight_MH,2,2.399112021
Lightweight_MH,2,2.147614107
Lightweight_MH,2,2.190478008
Lightweight_MH,2,2.249420688
Lightweight_MH,2,2.266861519
Lightweight_MH,2,2.352972474
Lightweight_MH,2,2.497852208
Lightweight_MH,2,2.418316154
Lightweight_MH,3,3.289762493
Lightweight_MH,3,3.559523458
Lightweight_MH,3,3.656184287
Lightweight_MH,3,3.707780779
Lightweight_MH,3,4.170173001
Lightweight_MH,3,3.911727052
Lightweight_MH,3,3.711034613
Lightweight_MH,3,3.909285246
Lightweight_MH,3,3.892585172
Lightweight_MH,3,4.070000001
Lightweight_MH,3,4.242304805
Lightweight_MH,3,4.591987933
Lightweight_MH,3,3.932072608
Lightweight_MH,3,3.9114630630000002
Lightweight_MH,3,3.840288658
Lightweight_MH,3,4.142335124
Lightweight_MH,3,4.24084295
Lightweight_MH,3,4.356360575
Lightweight_MH,3,4.38313214
Lightweight_MH,3,4.662536395
Lightweight_MH,4,5.656490564
Lightweight_MH,4,5.3445569
Lightweight_MH,4,5.590597369
Lightweight_MH,4,5.886944989
Lightweight_MH,4,6.127662748
Lightweight_MH,4,6.337576951
Lightweight_MH,4,6.555257401
Lightweight_MH,4,5.443093929
Lightweight_MH,4,5.55693129
Lightweight_MH,4,5.87570749
Lightweight_MH,4,6.063472354
Lightweight_MH,4,6.331009768
Lightweight_MH,4,6.907711911
Lightweight_MH,4,5.900841808
Lightweight_MH,4,5.422392519
Lightweight_MH,4,5.764154171
Lightweight_MH,4,6.083966744
Lightweight_MH,4,6.463825591
Lightweight_MH,4,6.547259712
Lightweight_MH,4,6.591207578
Lightweight_MH,5,6.994746558
Lightweight_MH,5,7.488927654
Lightweight_MH,5,7.757534408
Lightweight_MH,5,8.081497261
Lightweight_MH,5,8.707346033
Lightweight_MH,5,7.09715328
Lightweight_MH,5,7.423982201
Lightweight_MH,5,7.786470908
Lightweight_MH,5,8.21359702
Lightweight_MH,5,8.991657539
Lightweight_MH,5,7.616510068
Lightweight_MH,5,7.059523131
Lightweight_MH,5,7.726245513
Lightweight_MH,5,8.180379357
Lightweight_MH,5,8.68764043
Lightweight_MH,5,8.236542107
Lightweight_MH,5,7.661966023
Lightweight_MH,5,7.827931481
Lightweight_MH,5,8.436826197
Lightweight_MH,5,8.761493505
Lightweight_MH,6,10.222395323
Lightweight_MH,6,8.70198577
Lightweight_MH,6,9.477820731
Lightweight_MH,6,10.012664389
Lightweight_MH,6,10.698189385
Lightweight_MH,6,9.370520719
Lightweight_MH,6,9.605042433
Lightweight_MH,6,10.263022528
Lightweight_MH,6,11.093274482
Lightweight_MH,6,10.721211196
Lightweight_MH,6,9.510353803
Lightweight_MH,6,10.051297514
Lightweight_MH,6,10.770321571
Lightweight_MH,6,11.01696324
Lightweight_MH,6,9.146488582
Lightweight_MH,6,9.894727867
Lightweight_MH,6,10.140482666
Lightweight_MH,6,11.35916166
Lightweight_MH,6,10.438622117
Lightweight_MH,6,9.466040688
Lightweight_MH,7,12.207525868
Lightweight_MH,7,11.994896837
Lightweight_MH,7,11.313086246
Lightweight_MH,7,11.070038242
Lightweight_MH,7,11.798343186
Lightweight_MH,7,12.170389554
Lightweight_MH,7,11.264701509
Lightweight_MH,7,11.179742747
Lightweight_MH,7,11.956480047
Lightweight_MH,7,12.522617281
Lightweight_MH,7,11.035456015
Lightweight_MH,7,11.250120717
Lightweight_MH,7,12.065381305
Lightweight_MH,7,12.879388664
Lightweight_MH,7,10.849003442
Lightweight_MH,7,12.878143524
Lightweight_MH,7,13.600326753000001
Lightweight_MH,7,15.151192732
Lightweight_MH,7,12.341100036
Lightweight_MH,7,13.177763319
Lightweight_MH,8,16.658704754
Lightweight_MH,8,16.072314173
Lightweight_MH,8,14.893615379
Lightweight_MH,8,13.766961861
Lightweight_MH,8,14.804177909
Lightweight_MH,8,12.582015928
Lightweight_MH,8,13.623670237
Lightweight_MH,8,13.941294812
Lightweight_MH,8,13.293083862
Lightweight_MH,8,12.979357434
Lightweight_MH,8,14.046621902
Lightweight_MH,8,14.120726412
Lightweight_MH,8,12.447880596
Lightweight_MH,8,13.963259234
Lightweight_MH,8,14.981803396
Lightweight_MH,8,12.227821673
Lightweight_MH,8,13.11614358
Lightweight_MH,8,14.850807275
Lightweight_MH,8,13.160789179
Lightweight_MH,8,12.836325627
Lightweight_MH,9,16.100444665
Lightweight_MH,9,16.411316584
Lightweight_MH,9,14.986410221
Lightweight_MH,9,16.260316926
Lightweight_MH,9,15.854207603999999
Lightweight_MH,9,14.468543578
Lightweight_MH,9,16.378569692
