infMethod,modelSize,time
Lightweight_MH,1,1.105354085
Lightweight_MH,1,1.117400473
Lightweight_MH,1,1.14123142
Lightweight_MH,1,1.113936282
Lightweight_MH,1,1.139413115
Lightweight_MH,1,1.106231317
Lightweight_MH,1,1.074884022
Lightweight_MH,1,1.080404225
Lightweight_MH,1,1.116435043
Lightweight_MH,1,1.182614994
Lightweight_MH,1,1.183112884
Lightweight_MH,1,1.065949999
Lightweight_MH,1,1.173473349
Lightweight_MH,1,1.2334301970000001
Lightweight_MH,1,1.197051814
Lightweight_MH,1,1.239652461
Lightweight_MH,1,1.178798498
Lightweight_MH,1,1.167678909
Lightweight_MH,1,1.2100475880000001
Lightweight_MH,1,1.184129775
Lightweight_MH,2,2.937837102
Lightweight_MH,2,3.055965211
Lightweight_MH,2,2.735549356
Lightweight_MH,2,2.945536374
Lightweight_MH,2,3.071428852
Lightweight_MH,2,3.102830004
Lightweight_MH,2,3.221907352
Lightweight_MH,2,2.9827194439999998
Lightweight_MH,2,2.926254821
Lightweight_MH,2,2.984183281
Lightweight_MH,2,2.97902598
Lightweight_MH,2,3.105316677
Lightweight_MH,2,3.15392282
Lightweight_MH,2,3.390543531
Lightweight_MH,2,3.091466178
Lightweight_MH,2,3.146532564
Lightweight_MH,2,3.029728188
Lightweight_MH,2,3.025869206
Lightweight_MH,2,3.077051465
Lightweight_MH,2,3.229300012
Lightweight_MH,3,5.989020635
Lightweight_MH,3,5.681376525
Lightweight_MH,3,5.680963041
Lightweight_MH,3,5.778825601
Lightweight_MH,3,5.864384025
Lightweight_MH,3,5.890690495
Lightweight_MH,3,5.998211671
Lightweight_MH,3,5.885761486
Lightweight_MH,3,6.134948347
Lightweight_MH,3,5.560509523
Lightweight_MH,3,5.715228807
Lightweight_MH,3,5.958307809
Lightweight_MH,3,6.29063396
Lightweight_MH,3,6.029773616
Lightweight_MH,3,6.563653176
Lightweight_MH,3,6.473371437
Lightweight_MH,3,6.709674605
Lightweight_MH,3,6.978773432
Lightweight_MH,3,6.291661984
Lightweight_MH,3,6.109085387
Lightweight_MH,4,10.369081616
Lightweight_MH,4,10.168288408
Lightweight_MH,4,11.081971346
Lightweight_MH,4,10.796057386
Lightweight_MH,4,11.163302171
Lightweight_MH,4,11.435385901
Lightweight_MH,4,11.259381316
Lightweight_MH,4,10.700278187
Lightweight_MH,4,10.906724663
Lightweight_MH,4,10.726913939
Lightweight_MH,4,10.528833009
Lightweight_MH,4,10.88969777
Lightweight_MH,4,11.638526428
Lightweight_MH,4,11.621449131
Lightweight_MH,4,12.16216689
Lightweight_MH,4,12.048892961
Lightweight_MH,4,11.830160605
Lightweight_MH,4,11.879631916
Lightweight_MH,4,10.467842424
Lightweight_MH,4,11.349283645
Lightweight_MH,5,16.317391697
Lightweight_MH,5,17.170005465
Lightweight_MH,5,17.391261242
Lightweight_MH,5,18.223390195
Lightweight_MH,5,17.658451051
Lightweight_MH,5,17.559748377
Lightweight_MH,5,18.943033029
Lightweight_MH,5,17.910289332
Lightweight_MH,5,16.476252058
Lightweight_MH,5,16.673680675
Lightweight_MH,5,16.289575205
Lightweight_MH,5,16.910039427
Lightweight_MH,5,17.339214853
Lightweight_MH,5,16.881701858
Lightweight_MH,5,17.792882838
Lightweight_MH,5,18.704567705
Lightweight_MH,5,19.010342444
Lightweight_MH,5,20.02126002
Lightweight_MH,5,16.731568665
Lightweight_MH,5,17.128216876
Lightweight_MH,6,24.693658891
Lightweight_MH,6,25.217054953
Lightweight_MH,6,25.883473519
Lightweight_MH,6,25.115955322
Lightweight_MH,6,26.064144067
Lightweight_MH,6,27.196545558
Lightweight_MH,6,24.539276114
Lightweight_MH,6,24.515163029
Lightweight_MH,6,24.148817419
Lightweight_MH,6,25.320039873
Lightweight_MH,6,26.192542554
Lightweight_MH,6,27.633839711
Lightweight_MH,6,27.686579403
Lightweight_MH,6,27.615132855
Lightweight_MH,6,23.821540413
Lightweight_MH,6,25.045325861
Lightweight_MH,6,25.298381635
Lightweight_MH,6,25.547498046
Lightweight_MH,6,25.745214044
Lightweight_MH,6,25.343745238
Lightweight_MH,7,35.752174502
Lightweight_MH,7,32.997436454
Lightweight_MH,7,32.084609041
Lightweight_MH,7,35.386832368
Lightweight_MH,7,34.60264988
Lightweight_MH,7,35.392037624
Lightweight_MH,7,33.33327401
Lightweight_MH,7,32.340085189
Lightweight_MH,7,33.220512749
Lightweight_MH,7,33.734964371
Lightweight_MH,7,34.929289592
Lightweight_MH,7,31.358782286
Lightweight_MH,7,33.432815022
Lightweight_MH,7,33.149806254
Lightweight_MH,7,33.810452179
Lightweight_MH,7,32.220636326
Lightweight_MH,7,32.302025709
Lightweight_MH,7,32.645693292
Lightweight_MH,7,32.845641176
Lightweight_MH,7,33.77875583
Lightweight_MH,8,42.56131396
Lightweight_MH,8,43.129057988
Lightweight_MH,8,42.24453082
Lightweight_MH,8,41.273227796
Lightweight_MH,8,39.736965009
Lightweight_MH,8,40.317490206
Lightweight_MH,8,37.82576641
Lightweight_MH,8,38.991903879
Lightweight_MH,8,39.456190847
Lightweight_MH,8,40.350400541
Lightweight_MH,8,38.497436267
Lightweight_MH,8,37.811503969
Lightweight_MH,8,40.389661938
Lightweight_MH,8,37.75353273
Lightweight_MH,8,36.24203844
Lightweight_MH,8,37.638062614
Lightweight_MH,8,38.520020719
Lightweight_MH,8,39.823917643
Lightweight_MH,8,38.542010988
Lightweight_MH,8,40.41503535
Lightweight_MH,9,53.123865057
Lightweight_MH,9,50.807070963
Lightweight_MH,9,49.453665901
Lightweight_MH,9,50.142154233
Lightweight_MH,9,52.091478239
Lightweight_MH,9,52.093593047
Lightweight_MH,9,51.230052536
Lightweight_MH,9,53.852304868
Lightweight_MH,9,49.778094962
Lightweight_MH,9,49.501265959
Lightweight_MH,9,50.15868171
Lightweight_MH,9,50.424634077
Lightweight_MH,9,49.914388222
Lightweight_MH,9,49.384906617
Lightweight_MH,9,48.224073789
Lightweight_MH,9,49.929426237
Lightweight_MH,9,49.745352258
Lightweight_MH,9,52.085049969
Lightweight_MH,9,50.19237311
Lightweight_MH,9,51.530000788
Lightweight_MH,10,59.425463807
Lightweight_MH,10,62.127045493
Lightweight_MH,10,65.592778515
Lightweight_MH,10,63.402464817
Lightweight_MH,10,67.593140604
Lightweight_MH,10,63.876532161
Lightweight_MH,10,66.38956952
Lightweight_MH,10,60.84116966
Lightweight_MH,10,66.334157522
Lightweight_MH,10,66.284850898
Lightweight_MH,10,64.159978097
Lightweight_MH,10,64.15207718
Lightweight_MH,10,64.521586956
Lightweight_MH,10,68.101772745
Lightweight_MH,10,67.366944426
Lightweight_MH,10,65.666266076
Lightweight_MH,10,64.2727106
Lightweight_MH,10,63.648761096
Lightweight_MH,10,66.582529217
