infMethod,modelSize,time
Lightweight_MH,1,1.347470616
Lightweight_MH,1,1.292191523
Lightweight_MH,1,1.425568151
Lightweight_MH,1,1.449530642
Lightweight_MH,1,1.442783494
Lightweight_MH,1,1.381975995
Lightweight_MH,1,1.454231367
Lightweight_MH,1,1.51530532
Lightweight_MH,1,1.347228771
Lightweight_MH,1,1.537524684
Lightweight_MH,1,1.479259087
Lightweight_MH,1,1.609183361
Lightweight_MH,1,1.53352977
Lightweight_MH,1,1.520059842
Lightweight_MH,1,1.528561944
Lightweight_MH,1,1.528837775
Lightweight_MH,1,1.535385308
Lightweight_MH,1,1.523748589
Lightweight_MH,1,1.475964649
Lightweight_MH,1,1.467292262
Lightweight_MH,2,2.6366095229999997
Lightweight_MH,2,2.692185478
Lightweight_MH,2,2.574544687
Lightweight_MH,2,2.552223322
Lightweight_MH,2,2.687276892
Lightweight_MH,2,2.701164312
Lightweight_MH,2,2.783823617
Lightweight_MH,2,2.716765252
Lightweight_MH,2,3.070980706
Lightweight_MH,2,2.8636843130000003
Lightweight_MH,2,2.992703575
Lightweight_MH,2,3.130510008
Lightweight_MH,2,3.219857133
Lightweight_MH,2,2.968135497
Lightweight_MH,2,3.094606357
Lightweight_MH,2,2.922643603
Lightweight_MH,2,3.140332105
Lightweight_MH,2,3.260016665
Lightweight_MH,2,3.224633852
Lightweight_MH,2,3.3021092
Lightweight_MH,3,4.505693351
Lightweight_MH,3,4.537078083
Lightweight_MH,3,4.701474343
Lightweight_MH,3,4.855837425
Lightweight_MH,3,4.916654422
Lightweight_MH,3,5.112626019
Lightweight_MH,3,4.698391331
Lightweight_MH,3,4.625942229
Lightweight_MH,3,4.999347976
Lightweight_MH,3,4.951969149
Lightweight_MH,3,5.147246155
Lightweight_MH,3,5.028369009
Lightweight_MH,3,5.428961721
Lightweight_MH,3,5.240273506
Lightweight_MH,3,5.053461651
Lightweight_MH,3,5.027155564
Lightweight_MH,3,5.086674747
Lightweight_MH,3,5.233146674
Lightweight_MH,3,5.40876836
Lightweight_MH,3,5.247486587
Lightweight_MH,4,7.362986352
Lightweight_MH,4,7.394806533
Lightweight_MH,4,6.6168724789999995
Lightweight_MH,4,6.8822313489999996
Lightweight_MH,4,7.2967803700000005
Lightweight_MH,4,7.103852735
Lightweight_MH,4,7.781341467
Lightweight_MH,4,7.289544436
Lightweight_MH,4,7.854641653
Lightweight_MH,4,7.629423754
Lightweight_MH,4,6.821709707
Lightweight_MH,4,7.053631692
Lightweight_MH,4,7.146665771
Lightweight_MH,4,7.202544261
Lightweight_MH,4,7.445991177
Lightweight_MH,4,7.6555695230000005
Lightweight_MH,4,7.994874913
Lightweight_MH,4,8.373730857
Lightweight_MH,4,8.69823134
Lightweight_MH,4,7.086440268
Lightweight_MH,5,9.169278376
Lightweight_MH,5,9.725051714
Lightweight_MH,5,9.343431825
Lightweight_MH,5,9.82706859
Lightweight_MH,5,10.030363271
Lightweight_MH,5,10.6217546
Lightweight_MH,5,11.349325451
Lightweight_MH,5,10.019509605
Lightweight_MH,5,9.388895602
Lightweight_MH,5,9.82147246
Lightweight_MH,5,9.919482443
Lightweight_MH,5,9.884614045
Lightweight_MH,5,10.578840737
Lightweight_MH,5,11.024069031
Lightweight_MH,5,10.974648912
Lightweight_MH,5,8.693473976
Lightweight_MH,5,9.215770473
Lightweight_MH,5,9.255987358
Lightweight_MH,5,9.851862687
Lightweight_MH,5,10.386838777
Lightweight_MH,6,12.94336474
Lightweight_MH,6,13.353589978
Lightweight_MH,6,12.517580294
Lightweight_MH,6,11.356210511
Lightweight_MH,6,11.673295893
Lightweight_MH,6,12.300026853
Lightweight_MH,6,12.901565099
