infMethod,nObservations,time
Lightweight_MH,10,0.936492781
Lightweight_MH,10,0.881422317
Lightweight_MH,10,0.867233464
Lightweight_MH,10,0.910391656
Lightweight_MH,10,0.916610476
Lightweight_MH,10,0.915758922
Lightweight_MH,10,0.929313642
Lightweight_MH,10,0.947176075
Lightweight_MH,10,0.988128586
Lightweight_MH,10,0.97430523
Lightweight_MH,10,1.002063677
Lightweight_MH,10,0.923688859
Lightweight_MH,10,1.006179031
Lightweight_MH,10,0.984922887
Lightweight_MH,10,0.976191709
Lightweight_MH,10,0.93138627
Lightweight_MH,10,0.974735694
Lightweight_MH,10,0.930110758
Lightweight_MH,10,0.95878871
Lightweight_MH,10,0.974822618
Lightweight_MH,20,2.067954799
Lightweight_MH,20,2.140600019
Lightweight_MH,20,1.939696281
Lightweight_MH,20,1.997823564
Lightweight_MH,20,2.07368121
Lightweight_MH,20,2.137397368
Lightweight_MH,20,2.2364754
Lightweight_MH,20,2.033419476
Lightweight_MH,20,1.998699148
Lightweight_MH,20,2.073510869
Lightweight_MH,20,2.026862338
Lightweight_MH,20,2.146610942
Lightweight_MH,20,2.237859422
Lightweight_MH,20,2.250656631
Lightweight_MH,20,2.142821151
Lightweight_MH,20,2.102592903
Lightweight_MH,20,2.233261636
Lightweight_MH,20,2.29938858
Lightweight_MH,20,2.15290772
Lightweight_MH,20,2.286416389
Lightweight_MH,30,3.220950389
Lightweight_MH,30,3.548908052
Lightweight_MH,30,3.360102855
Lightweight_MH,30,3.36451777
Lightweight_MH,30,3.604162514
Lightweight_MH,30,3.395990998
Lightweight_MH,30,3.554212136
Lightweight_MH,30,3.649594564
Lightweight_MH,30,3.811295225
Lightweight_MH,30,3.851050332
Lightweight_MH,30,3.725480479
Lightweight_MH,30,3.488519335
Lightweight_MH,30,3.588164032
Lightweight_MH,30,3.6165918599999998
Lightweight_MH,30,3.752487477
Lightweight_MH,30,3.872463979
Lightweight_MH,30,3.993276865
Lightweight_MH,30,3.964245882
Lightweight_MH,30,4.01211077
Lightweight_MH,30,3.990336849
Lightweight_MH,40,5.645109132
Lightweight_MH,40,4.777095907
Lightweight_MH,40,5.000075969
Lightweight_MH,40,5.073109593
Lightweight_MH,40,5.231735897
Lightweight_MH,40,5.480004339
Lightweight_MH,40,5.542879705
Lightweight_MH,40,5.608342944
Lightweight_MH,40,5.921367079
Lightweight_MH,40,6.147754411
Lightweight_MH,40,6.125989567
Lightweight_MH,40,6.221330467
Lightweight_MH,40,5.308128856
Lightweight_MH,40,5.464798728
Lightweight_MH,40,5.681556656
Lightweight_MH,40,5.84219887
Lightweight_MH,40,5.924094812
Lightweight_MH,40,6.089365051
Lightweight_MH,40,6.189876234
Lightweight_MH,40,6.308226571
Lightweight_MH,50,8.404622706
Lightweight_MH,50,8.519164264
Lightweight_MH,50,8.736520968
Lightweight_MH,50,9.042872517
Lightweight_MH,50,8.775982572
Lightweight_MH,50,7.670353176
Lightweight_MH,50,7.848793166
Lightweight_MH,50,8.230079252
Lightweight_MH,50,8.430073423
Lightweight_MH,50,8.296362182
Lightweight_MH,50,8.75430638
Lightweight_MH,50,9.12866079
Lightweight_MH,50,9.140136528
Lightweight_MH,50,9.426562983
Lightweight_MH,50,9.732577028
Lightweight_MH,50,8.496499267
Lightweight_MH,50,7.511013087
Lightweight_MH,50,7.670700531
Lightweight_MH,50,7.978658251
Lightweight_MH,50,8.245190437
Lightweight_MH,60,10.176743578
Lightweight_MH,60,10.711460755
Lightweight_MH,60,11.156740306
Lightweight_MH,60,11.435603
Lightweight_MH,60,11.606605099
Lightweight_MH,60,9.370028041
